"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Xiao zhu pei qi guo da nian",NA,131.225,18521.8,"G(Rating bulletin 2564 (Cert #52022), 2/6/2019)","81 minutes",NA,"TV","Adventure","Animation/Live Action","Kids Fiction","Alibaba Pictures, Entertainment One","China","Mandarin","STX Entertainment",2019
"Di Qiu Zui Hou De Ye Wang",NA,521.4,41619.4,"Not Rated","133 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Zhejiang Huace Films & TV Co. , Shanghai PMF Pictures Company, Shanghai Tencent Pictures Cultural Diffusion Company, China Film Investment Fund, Mandarin Vision Company, Tian Jin Mao Yan We Ying Media Company, Free Whale Pictures Company, Jiangsu Zhongman Films Company, Shanghai Ju Hong Film and TV Culture Studio, Realm Media Group, Dream Sky Pictures, Youku Information Technology Company, Dangmai Films Company, Huace Pictures","China, France","Mandarin","Kino Lorber",2018
"House of Flying Daggers",12000,11050.1,81813.9,"PG-13 for sequences of stylized martial arts violence, and some sexuality","119 minutes",NA,"Original Screenplay","Action","Live Action","Historical Fiction",NA,"China, Hong Kong","Mandarin","Sony Pictures Classics",2004
"Crouching Tiger, Hidden Dragon",15000,128067.8,85446.9,"PG-13 for martial arts violence and some sexuality","120 minutes","Crouching Tiger, Hidden Dragon","Fiction Book/Short Story","Action","Live Action","Fantasy","United China Vision, Asia Union Film and Entertainment LTD, Sony Pictures Classics, Edko Films, Good Machine, Columbia Pictures, China Film Co. LTD","China, Hong Kong, Taiwan, Province of China, United States","Mandarin","Sony Pictures Classics",2000
"Lust, Caution",15000,4605,60562.4,"NC-17 for some explicit sexuality","158 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction",NA,"China, United States","Mandarin","Focus Features",2007
"My Best Friend’s Wedding",NA,77,5647.6,"PG for mild suggestive content.","91 minutes",NA,"Remake","Romantic Comedy","Live Action","Contemporary Fiction","Columbia Pictures, China Film Group","China, United States","Mandarin","Sony Pictures",2016
"White Snake",NA,34.73,68330,"Not Rated","98 minutes",NA,"Original Screenplay","Drama","Digital Animation","Fantasy","Warner Bros., Light Chaser Animation Studios","China, United States","Mandarin","GKIDS",2019
"Mongol",18000,5705.8,21441.6,"R for sequence of bloody warfare","120 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"Germany, Hong Kong, Kazakhstan, Russian Federation","Mandarin, Mongolian","Picturehouse",2008
"Mongolian Ping Pong",NA,71.2,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"China","Mongolian","First Run Features",2006
"Tanna",NA,5.711,568.3,"Not Rated","104 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Screen Australia, Contact Film, Film Victoria","Australia, Vanuatu","Nauvhal","Lightyear Entertainment",2015
"Thelma",NA,147.4,1324.3,"Not Rated","116 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","The Orchard, Motlys, Memento Films International, Film i Vast, Le Pacte, Filmpool Nord, Snowglobe, B-Reel Films, Don't Look Now, Copenhagen Film Fund","Denmark, France, Norway, Sweden","Norwegian","The Orchard",2017
"A Somewhat Gentle Man",NA,37.7,NA,"Not Rated","107 minutes",NA,"Original Screenplay","Dark Comedy","Live Action","Contemporary Fiction","Paradox","Norway","Norwegian","Strand",2011
"Troll Hunter",3500,253.4,5453.2,"PG for some sequences of creature terror","90 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction","Filmkameratene AS, Filmfondet Fuzz, SF Norge AS","Norway","Norwegian","Magnet Pictures",2011
"What Will People Say",NA,44.2,793,"Not Rated","106 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Mer Film  , Beta Cinema, Rohfilm, Film i Vast, Zentropa Sweden","Germany, Norway, Sweden","Norwegian, Urdu","Kino Lorber",2018
"Life, Above All",NA,134.1,NA,"PG-13 for mature thematic material and some sexual content","100 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Bavaria Film Intl., Dreamer Joint Venture, Senator Film Produktion","South Africa","Pedi","Sony Pictures Classics",2011
"Fifi Howls from Happiness",NA,13.6,NA,"Not Rated","96 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","A Butimar Productions","France, Islamic Republic of Iran, United States","Persian","Music Box Films",2014
"Kasi az Gorbehaye Irani Khabar Nadareh",NA,81.8,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Islamic Republic of Iran","Persian","",2010
"Manuscripts Don’t Burn",NA,6.3,NA,"Not Rated","125 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Mohammad Rasoulof","Islamic Republic of Iran","Persian","Kino Lorber",2014
"Offside",NA,179.9,NA,"PG for language throughout, and some thematic elements","93 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"Islamic Republic of Iran","Persian","Sony Pictures Classics",2007
"Starless Dreams",NA,5.9,NA,"Not Rated","76 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Oskouei Films","Islamic Republic of Iran","Persian","Cinema Guild",2017
"The Salesman",NA,2402.1,7389.1,"PG-13 for mature thematic elements and a brief bloody image","125 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Islamic Republic of Iran","Persian","Cohen Media Group",2016
"Under the Shadow",NA,28.9,123,"PG-13 for terror, scary images and brief language","84 minutes",NA,"Original Screenplay","Horror","Live Action","Historical Fiction","XYZ Films, Vertical Entertainment, Wigwam Films, Creativity Capital , Mena Film","Jordan, Qatar, United Kingdom","Persian","Vertical Entertainment",2016
"Ida",2600,3827.1,11471.3,"PG-13 for thematic elements, some sexuality and smoking","80 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Opus Film, Phoenix Pictures, Portobello Pictures","Denmark, Poland","Polish","Music Box Films",2014
"Demon",NA,104.038,NA,"R for language and some sexuality/nudity","94 minutes",NA,"Play","Horror","Live Action","Fantasy","Magnet Films, Telewizja Polska, Chimney Pot, Transfax Films, Lava Films, Krakow Festival Office, Silesia Film, Wajda Studio, The Orchard","Poland","Polish","The Orchard",2016
"All These Sleepless Nights",NA,20.8,NA,"R for language and smoking throughout, drug use and some sexuality/graphic nudity","100 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","The Orchard, Endorfina Studio, Pulse Films, TVP S.A., Mazovia Film Fund, Funacja Moma Film, Polish Film Institute, Britdoc Circle, Sundance Institute Documentary Film Program, Filmmaker Fund, Puk Studio, Serek Films","Poland, United Kingdom","Polish","The Orchard",2017
"O Céu de Suely",NA,12,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Brazil","Portuguese","Strand",2007
"City of God",3300,7563.4,24495.9,"R for strong brutal violence, sexuality, drug content and language.",NA,"City of God","Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"Brazil","Portuguese","Miramax",2003
"The Boy and the World",500,129.5,151.5,"PG for thematic material and images","80 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Kids Fiction","Sabesp, Petrobras, Filme de Papei, GKIDS","Brazil","Portuguese","GKIDS",2014
"Fados",NA,129.2,NA,"Not Rated","88 minutes",NA,NA,"Drama",NA,NA,NA,"Portugal, Spain","Portuguese","Zeitgeist",2009
"O Ano em Que Meus Pais Saíram de Férias",NA,807.1,1800,"PG for thematic material, mild language, brief suggestive content, some violence and smoking.","103 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"Brazil","Portuguese, Yiddish","City Lights Pictures",2008
"Bol",NA,186.4,NA,"Not Rated","165 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Shoman Productions","Pakistan","Punjabi, Urdu","Eros Entertainment",2011
"Kaptaan",NA,203.8,123.6,"Not Rated","142 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Tips Industries","Pakistan","Punjabi, Urdu","UTV Communications",2016
"4 Months, 3 Weeks and 2 Days",900,1196.3,10796.8,"Not Rated","113 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"Romania","Romanian","IFC Films",2008
"Aurora",NA,5.6,1.4,"Not Rated","181 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Romania","Romanian","Cinema Guild",2011
"Autobiografia lui Nicolae Ceausescu",NA,32.9,NA,"Not Rated","180 minutes",NA,"Real Life Events","Documentary","Live Action","Factual",NA,"Romania","Romanian","The Film Desk",2011
"Child's Pose",NA,218.2,NA,"Not Rated","112 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Parada Film, HaiHui Entertainment, Romanian Centre of Cinematography, Media Programme of the European Union, Odyssey Communication BV, McCann Erikson, Real Top Media","Romania","Romanian","Zeitgeist",2014
"The Death of Mr. Lazarescu",425,80.3,501,"R for language and brief nudity.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Romania","Romanian","Tartan Films",2006
"Tuesday, After Christmas",NA,27.8,NA,"Not Rated","99 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Multi Media Est, Centrul National al Cinematografiei, HBO Romania","Romania","Romanian","Lorber Films",2011
"Beanpole",NA,196.3,1333.5,"Not Rated","137 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction","Non-Stop Productions, AR Content, Kino Lorber","Russian Federation","Russian","Kino Lorber",2019
"The Return (2004)",15000,501.8,5452.1,"PG-13 for violence, terror and disturbing images","110 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Russian Federation","Russian","Focus Features, Kino International",2004
"My Perestroika",NA,242.7,NA,"Not Rated","87 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Red Square Prods, Bungalow Town Prods, POV, YLE Finland","United Kingdom, United States","Russian","International Film Circuit",2011
"Citizen K",NA,119.5,28.9,"Not Rated","126 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Amazon Studios, Kew Media Group, Passion Pictures, Jigsaw Productions, Storyteller Pictures","United States","Russian","Greenwich",2019
"Battleship Potemkin ",NA,51.2,NA,"Not Rated","75 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"USSR","Russian, Silent","Kino International",1925
"Day Watch",NA,459.1,38411.8,"R for violence","131 minutes","Night Watch","Fiction Book/Short Story","Action","Live Action","Science Fiction",NA,"Russian Federation","Russian, Uzbek","Fox Searchlight",2007
"The Artist",16000,44667.1,83589.6,"PG-13 for a disturbing image and a crude gesture","100 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction","Le Petit Reine, Studio 37, La Classe Americaine, JD Productions, France 3 Cinema, Jouror Productions, uFilm, Canal Plus","France","Silent","Weinstein Co.",2011
"Providence",NA,8.6,NA,"Not Rated","79 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Mainstreet Productions, Faith Flix Films","United States","Silent","Main Street",2016
"The Aura",NA,58.8,NA,"Not Rated",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"Mexico","Spanish","IFC Films",2006
"El Angel",NA,109.6,5495.1,"Not Rated","118 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"Argentina","Spanish","The Orchard",2018
"The Salvation Poem",NA,915.5,NA,"PG-13 for some thematic material and violent content(Rating bulletin 2108, 2/17/2010)",NA,NA,NA,"Thriller",NA,NA,NA,"Argentina","Spanish","CanZion Films",2010
"The Secret in Their Eyes",3500,6391.4,34136.3,"R for a rape scene, violent images, some graphic nudity and language(Rating bulletin 2108, 2/17/2010)","127 minutes",NA,"Fiction Book/Short Story","Thriller","Live Action","Historical Fiction",NA,"Argentina","Spanish","Sony Pictures Classics",2010
"Carancho",NA,85.5,4873.8,"Not Rated","107 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Matanza Cine, Finecut, Patagonik, Ad Vitam, L90 Producciones","Argentina, France, Republic of Korea","Spanish","Strand",2011
"XXY",NA,46,NA,"Not Rated","86 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"Argentina, France, Spain","Spanish","Film Movement",2008
"The Holy Girl",1400,304.1,957.7,"R for some sexual content and brief nudity.","106 minutes",NA,"Original Screenplay","Drama","Live Action",NA,NA,"Argentina, Italy, Netherlands, Spain","Spanish","Fine Line",2005
"Condorito: The Movie",NA,447.719,6699.3,"PG for rude and suggestive humor, and some mild action","88 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Kids Fiction",NA,"Argentina, Peru, United States","Spanish","Lionsgate",2017
"El Clan",5500,201.2,21923.9,"R for violence, language and a scene of sexuality/nudity","108 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Fox International Productions, Kramer & Sigman Films, Matanza Cine, El Deseo, Telefonica Studios, Telefe","Argentina, Spain","Spanish","20th Century Fox",2015
"Abracadabra",NA,14,2094.5,"R for violent bloody images, language and sexual references","96 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"Belgium, France, Spain","Spanish","Sony Pictures",2017
"Hazlo Como Hombre",NA,2534.3,10984.2,"R for sexual content throughout","109 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"Chile","Spanish","Lionsgate",2017
"The Dance of Reality",NA,293.7,29.7,"Not Rated","126 minutes",NA,"Original Screenplay","Drama","Live Action","Fantasy",NA,"Chile","Spanish","ABCKO Films",2014
"The Maid",NA,576.6,NA,"Not Rated","95 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Chile","Spanish","Elephant Eye Films",2009
"Nostalgia for the Light",NA,142.3,238.3,"Not Rated","90 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Atacama Productions, Blinker Filmproduktion, WDR, Cronomedia, Spanish Television TVE","Chile, France, Germany, Spain","Spanish","Icarus Films",2011
"Gloria",NA,2110.4,NA,"R for sexual content, some graphic nudity, drug use and language","110 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Fabula","Chile, Spain","Spanish","Roadside Attractions",2014
"The Two Escobars",NA,10.942,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"Colombia","Spanish","All Rise Films",2010
"Birds of Passage",NA,507.3,1081.2,"Not Rated","125 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","The Orchard, Ciudad Lunar, Blond Indian, Pimienta Films, Snowglobe, Films Boutique, Bord Cadre","Colombia, Denmark","Spanish","The Orchard",2019
"Undertow",NA,108.6,NA,"Not Rated","100 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Colombia, France, Germany, Peru","Spanish","The Film Collective",2010
"Rage",NA,5.6,NA,"Not Rated","89 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"Colombia, Mexico, Spain","Spanish","Strand",2011
"La Soga",NA,210.625,NA,"R for violence, language and brief nudity","100 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","P2 Films, Lifted Productions","Dominican Republic","Spanish","7-57 Releasing",2010
"Tremors",NA,23.9,100.2,"Not Rated","107 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Tu Vas Voir, La Casa de Produccion, Memento Films   , Iris Productions, ARTE France, Aide aux Cinemas du Monde, Film Fund Luxembourg, Ministerio de Cultura y Deportes of Guatemala, La Region Nouvelle-Aquitaine, Fondation Gan pour le cinema","France, Guatemala, Luxembourg","Spanish","Film Movement",2019
"Eva",NA,16.7,17.1,"PG-13 for some mature thematic material including disturbing images","94 minutes",NA,"Original Screenplay","Drama","Live Action","Science Fiction","Escandalo Films","France, Spain","Spanish","Weinstein Co.",2012
"The Last Circus",NA,40.5,NA,"R for brutal and bloody violence throughout, some strong sexual content, nudity and language","105 minutes",NA,"Original Screenplay","Dark Comedy","Live Action","Historical Fiction","Tornasol Films, Castafiore, La Fabrique de Films","France, Spain","Spanish","Magnolia Pictures",2011
